Sr No,Date,StartUp,Vertical,Subvertical,Location,Investors,Round,Amount
1,2020-09-01,byjus,E-Tech,E-learning,Bengaluru,tiger global management,Private Equity Round,1711.3999999999999
2,2020-01-13,shuttl,Transportation,App based shuttle service,Gurgaon,susquehanna growth equity,Series C,68.87010745799999
3,2020-09-01,mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,sequoia capital india,Series B,157.09676502
4,2020-02-01,httpswwwwealthbucket,FinTech,Online Investment,New Delhi,vinod khatumal,Pre-series A,25.670999999999996
5,2020-02-01,fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,sprout venture partners,Seed Round,15.4026
6,2020-01-13,pando,Logistics,"Open-market, freight management platform",Chennai,chiratae,Series A,77.01299999999999
7,2020-10-01,zomato,Hospitality,Online Food Delivery Platform,Gurgaon,ant financial,Private Equity Round,1283.5499999999997
8,2019-12-12,ecozen,Technology,Agritech,Pune,sathguru catalyzer advisors,Series A,51.34199999999999
9,2019-06-12,cardekho,E-Commerce,Automobile,Gurgaon,ping an global voyager fund,Series D,598.9899999999999
10,2019-03-12,dhruva space,Aerospace,Satellite Communication,Bengaluru,mumbai angels ravikanth reddy,Seed,427.84999999999997
11,2019-12-13,rivigo,Technology,Logistics Services and Solutions,Gurgaon,saif partners spring canter investment ltd,Series F,171.14
12,2019-12-17,healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,paytm nptk sabre partners and neoplux,Series C,102.68399999999998
13,2019-12-16,licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,vertex growth fund,Series E,256.71
14,2019-12-16,incred,Finance,Non-Banking Financial Company,Mumbai,disclosed,Debt Funding,50.48629999999999
15,2019-12-14,trell,Video,Experience Discovery Platform,Bengaluru,ruizheng investment,Seed Round,17.114
16,2019-11-12,rein games,Gaming,Real money based gaming startup,Noida,manipal education and medical group memg,Seed Round,427.84999999999997
17,2019-12-20,lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,softbank vision fund,Series G,1976.667
18,2019-11-13,freshworks,Software,Business and customer engagement tools,San Francisco,sequoia capitalg accel,Series H,1283.5499999999997
19,2019-11-14,misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,saucevc rainforest,Series B,4.158702
20,2019-11-13,sunstone eduversity,Education,Elearning,Gurgaon,prime venture partners letsventure ps1 venture and globallogic cofounder rajul garg,Seed,12.835499999999998
21,2019-11-17,burger singh,Food and Beverage,Indian Burger Brand,Gurgaon,rb investments,Venture,0.0
22,2019-11-18,healthians,Health and Wellness,Healthcare services,Gurgaon,dg daiwa dg incubation,Series B,102.68399999999998
23,2019-11-15,ninjacart,B2B Marketing,Agritech,Bengaluru,trifecta capital advisors,Debt Funding,222.482
24,2019-11-20,aye finance,FinTech,Financial Services To MSMEs,Gurgaon,fintech,Debt Funding,148.988194605
25,2019-12-11,supergaming,Video Games,Social gaming platform,Pune,dream incubator,Seed Funding,11.124099999999999
26,2019-11-20,clumio,SaaS,Recovery software,"San Jose,",altimeter capital sutter hill,Series C,1155.195
27,2019-11-11,ebikego,Last Mile Transportation,Electric bike rental,Amritsar,startup buddy,Seed,2.5670999999999995
28,2019-11-19,digital mall asia,E-Commerce,Virtual e-commerce platform,Delhi,amour infrastructure,Seed Funding,1882.54
29,2019-11-18,medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,ackermans van haaren healthquad rebright partners toppan printing,Series B,135.2006
30,2019-11-15,vogo automotive,Last Mile Transportation,Scooter sharing app,Kormangala,matrix partners stellaris venture partners kalaari capital,Series B,2421.6309999999994
32,2019-11-25,paytm,FinTech,Mobile Wallet,Noida,vijay shekhar sharma,Funding Round,8557.0
33,2019-04-10,dunzo,Customer Service,Delivery Service,Bengaluru,lightbox,Series D,385.06499999999994
34,2019-02-10,udaan,B2B,Business development,Bengaluru,altimeter capital dst global,Series D,5005.844999999999
35,2019-10-21,the man company,Consumer Goods,Beauty and Grooming,Gurgaon,ayushmann khurana,Corporate Round,0.0
36,2019-05-09,fpl,FinTech,Financial Services,Pune,matrix partners india sequoia india,Maiden Round,38.506499999999996
37,2019-04-09,cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,saif partners,Series A,28.2381
38,2019-04-09,digital f5,"Advertising, Marketing",Digital marketing firm,Mumbai,tiw private equity,Private Equity Round,51.34199999999999
39,2019-04-09,3rdflix,SaaS,Education Technology,Hyderabad,exfinity venture partners,pre-series A,42.785
40,2019-04-09,75f,IoT,Building automation system,Burnsville,breakthrough energy,Series A,154.02599999999998
41,2019-04-09,myelin foundry,Information Technology,Deep-technology,Bengaluru,endiya partners,Seed,8.557
42,2019-04-09,atomberg technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,a91 partners,Series A,85.57
43,2019-04-09,goqii,Health and Wellness,Wearable Fitness Bands,Menlo Park,bennett coleman and company ltd bccl,Series C,3850.65
44,2019-03-09,vyapar app,Accounting,Mobile-based Accounting Software,Bengaluru,india quotient axilor,Series A,42.785
45,2019-01-08,cardekho,E-Commerce,Automotive,Gurgaon,sc gg india mobility holdings llc,Series C,171.14
46,2019-01-08,progcap,Finance,Supply Chain Management,New Delhi,sequoia india,Series A,42.785
47,2019-01-08,mypetrolpump,Retail,Fuel Delivery,Bengaluru,disclosed,Seed Funding Round,13.6912
48,2019-01-08,alteria capital,Finance,VC Funds,Mumbai,azim premji binny bansal,Single Venture,1197.9799999999998
49,2019-01-08,pine,Information Technology,Last-mile retail transaction technology,Noida,pine pte ltd,Corporate Round,325.85056
50,2019-12-08,meesho,E-Commerce,Social Commerce,Bengaluru,naspers,Series D,1069.625
51,2019-08-13,cars24,E-Commerce,Car Retail,Gurugram,ms dhoni,Series D,94.12699999999998
52,2019-08-13,uniphore,Customer Service Platform,Conversational AI,Palo Alto,march capital partners,Series C,436.407
53,2019-08-23,zendrive,Automotive,Road Safety Analytics,San Francisco,xl innovate,Series B,316.609
54,2019-08-23,lo foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,rashmi daga founder freshmenu raveen sastry cofounder myntra and mitesh shah finance chief bookmyshow,Seed Round,4.2785
55,2019-08-23,tala,FinTech,Digital Lending Platform,Santa Monica,rps,Series D,941.27
56,2019-08-22,indwealth,FinTech,Wealth Management,Gurgaon,tiger global management,Venture Round,128.355
57,2019-08-21,hungerbox,Food and Beverage,B2B Foodtech,Bengaluru,one97 communications ltd,Series C,56.39063
58,2019-08-23,admitkard,EdTech,University Admissions,Noida,growth dna,Seed Round,8.557
59,2019-08-19,mishry reviews,Services,Product Review,Gurgaon,vir sanghvi,Series A,0.0
60,2019-08-19,grofers,E-Commerce,Grocery Delivery,Gurgaon,softbank vision fund,Series F,598.9899999999999
61,2019-08-27,rapido bike taxi,Transportation,Bike Taxi,Bengaluru,westbridge capital,Series B,33372.3
62,2019-02-07,renewbuy,Finance,Auto Insurance,Gurgaon,lok capital iifl wealth,Series B,162.58299999999997
63,2019-02-07,atlan,Information Technology,Big Data,Singapore,waterbridge,Pre-Series A,21.3925
64,2019-01-07,wizcounsel,Compliance,Consulting,New Delhi,kapil dev,Angel,1.240765
65,2019-03-07,ola cabs,Transport,Cabs,Kormangala,dig investment ab deshe holdings samih toukan and hussam khoury,Series J,8.557
66,2019-01-07,uniphore,Artificial Intelligence,Speech Recognition,Taramani,march capital partners,Series C,325.85056
67,2019-04-07,daalchini,Food and Beverage,Digital Vending Machine,New Delhi,artha venture,Seed Round,4.2785
69,2019-11-07,moglix,E-Commerce,Industrial Tools and Equipments,Singapore,composite capital management sequoia capital india tiger global management,Series D,513.42
70,2019-10-07,ezyhaul,Tech,Logistics,Singapore,undisclosed,Series B,136.912
71,2019-10-07,indus os,Tech,Smartphone Operating System,Andheri,ventureast,Series B,49.202749999999995
72,2019-10-07,healthassure,Health Care,Primary care medical network,Mumbai,blume,Series A,21.3925
73,2019-09-07,house of msasaba,Luxury Label,Clothes and Apparel,Mumbai,binny bansal,Series A,8.557
74,2019-08-07,board infinity,EdTech,Full-stack career platform,Chembur,multiple angel investors,Angel Round,2.734859985
75,2019-05-06,nobroker,E-Commerce,Real Estate,Bengaluru,general atlantic,Series C,436.407
76,2019-04-06,bira91,Food and Beverage,Brewery,New Delhi,anicut capital,Debt Funding,85.57
78,2019-03-06,avail finance,Finance,FinTech,Bengaluru,matrix partners,Series A,77.01299999999999
79,2019-04-06,bharatpe,Finance,FinTech,New Delhi,insight partners,Series B,641.7749999999999
80,2019-04-06,recykal,Waste Management Service,Optimization,Hyderabad,triton investment advisors pidilite industries director ajay parekh,pre-Series A,222.482
81,2019-03-06,agara,Deep-Tech,Artificial Intelligence,Bengaluru,blume and rtp global,pre-Series A,21.3925
83,2019-06-06,chakr innovation,Energy,Renewable Energy,New Delhi,ian fund,Series A,222.482
85,2019-10-06,bolo app,Digital Media,Video Platform,Bengaluru,nexus venture partners,Seed Funding,3.6812214
86,2019-10-06,okcredit,FinTech,Financial Services,Haryana,tiger global management,Series A,132.6335
87,2019-06-06,biz2credit,FinTech,Online Lending Platform,New York,westbridge capital,Series B,444.964
88,2019-08-06,vogo automotive,Transportation,Dockless Scooter Rental Company,Karnataka,alteria capital,Debt Funding,30.668288
89,2019-04-06,leegality,Services,Digital Documentation,Mumbai/Bengaluru,mumbai angels,Series A,29.0938
90,2019-06-05,ola electric,Transport,Cabs,Bengaluru,tata sons,Series A,0.0
91,2019-06-05,saahas zero waste,Waste Management Service,Optimization,Bengaluru,c4d partners,Venture - Series Unknown,7.4326102
92,2019-05-05,styledotme,E-commerce,Fashion and Shopping,Delhi,indian angel network and other angel investors innov8 founder ritesh malik josh talks founders supriya paul and shobha banga and former hero corporate president rohit chanana,Bridge Round,0.0
93,2019-01-05,blackbuck,Transport,Logistics,Bengaluru,goldman sachs investment partners and silicon valleybased accel wellington sequoia capital b capital lightstreet sands capital and international finance corporation,Series D,1283.5499999999997
94,2019-02-05,zenoti,Saas,Beauty and Wellness Industry,Hyderabad,tiger global management,Series C,427.84999999999997
95,2019-05-28,ather energy,Automobile,Electric Vehicle,Bengaluru,sachin bansal,Series C,436.407
96,2019-05-28,freshvnf,Agtech,Fresh Agriculture Produces,Mumbai,equanimity,Seed Round,1197.9799999999998
97,2019-05-30,glowroad,E-commerce,Retail,Bengaluru,korea investment partners vertex,Series B,98.40549999999999
98,2019-05-31,bira91,Food and Beverage,Brewery,New Delhi,sixth sense,Series B,47.9192
99,2019-04-16,kuvera,Finance,Wealth Management,Bengaluru,eight roads,Series A,385.06499999999994
100,2019-12-04,medlife,E-commerce,Online Medicine,Bengaluru,prasid uno family trust,Private Equity,145.469
101,2019-10-04,kabadiwala,E-commerce,Waste Management,Bhopal,unilever beehive capital advisor abcom investments parekh marine transport,Private Equity,3.685200405
102,2019-04-13,tripoto,Social Media,Travel,New Delhi,orchid india hornbill orchid india fund chiratae formerly idg 3one4 capital lasmer nv,Series B,30.731395875
103,2019-12-04,azah,Health and Wellness,Organic wellness,Gurugram,unnamed angel investors,Seed Funding,1.7114
104,2019-11-04,setu,Fintech,Banking,Bengaluru,lightspeed india partners,Seed Funding,29.9495
105,2019-10-04,toppr,Edtech,E-learning,Mumbai,milestone,Debt and Preference capital,54.08725674
106,2019-10-04,craftsvilla,E-commerce,Fashion and Apparel,Mumbai,supera pte ltd,Inhouse Funding,20.908986714999998
107,2019-10-04,unacademy,Edtech,E-learning,Bengaluru,kalyan krishnamurthy,Seed/ Angel Funding,2.6269989999999996
108,2019-11-04,clevertap,SaaS,Mobile analytics and marketing,Mumbai,sequoia india tiger global management accel partners,Series B,222.482
109,2019-04-19,my healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,sixth sense,Series A,25.670999999999996
111,2019-04-17,shuttl,Transportation,Bus Aggregation,Gurugram,new atlantic,Venture Round,42.785
112,2019-04-17,increff,Technology,Supply-chain technology solutions,Bengaluru,021 capita binny bansal,Series A,25.670999999999996
114,2019-08-02,zilingo,Ecommerce,Fashion & Apparel,India/Singapore,sequoia capital and temasek holdings edbi burda principal investments and sofina,Series D,1933.882
115,2019-02-13,nanoclean global,Nanotechnology,Anti-Pollution,New Delhi,letsventure pitchright venture 91springboard al nour international holdings and mark v investments,Series A,5.134199999999999
116,2018-02-14,oyorooms,Hospitality,Budget Rooms,Gurgaon,didi chuxing,Equity,855.6999999999999
118,2019-04-01,vyome therapeutics,Health and Wellness,Specialty pharmaceutical,India/US,iron pillar perceptive advisors romulus capital and kalaari capital,Series D,188.25399999999996
119,2019-04-01,samunnati financial intermediation services,Finance,Non-banking financial company,Chennai,massif a dutch government fund,Debt-Funding,42.785
120,2018-04-12,manch,Social Media,Hyperlocal Content,Delhi,stellaris venture partners,Seed Funding,5.9899
121,2018-01-12,urbanclap,Services Platform,Home services marketplace,New Delhi,steadview capital and vy capital,Series D,427.84999999999997
122,2018-02-12,guiddoo,Travel Tech,Platform for travel agents,Mumbai,individual investors,Pre-Series A,6.8456
123,2018-02-12,career anna,Online Education,"Video-based certification, trainings",Gurugram,individual investors,Pre-Series A,4.894603999999999
124,2018-04-12,nagpur wholesale,Online Marketplace,eCommerce,Nagpur,omphalos india,Seed Funding,1.2236509999999998
125,2018-06-12,shopkirana,B2B,eCommerce,Indore,info edge aet fund akatsuki and incubate fund from japan and better capital angellist syndicate,Seed Funding,17.114
126,2018-06-12,buildsupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,venture highway gree space matrix individual investors,Series A,29.9495
127,2018-01-11,godesi,Food and Beverage,Regional Flavours,Bengaluru,lead angels network,Seed/ Angel Funding,1.189380215
129,2018-06-11,meesho,Ecommerce,Social Commerce,Bengaluru,shunwei capital dst partners and rps,Series C,427.84999999999997
130,2018-08-11,mobile premier league,Gaming,Mobile e-Sports,Bengaluru,undisclosed,Series A,4.2785
131,2018-08-11,ar bon vivants,Food,Meat Retail Chain,Jaipur,rb investments singapore,Equity,8.557
132,2018-12-11,blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",tiger global,Series A,8.557
133,2018-12-11,milkbasket,Food,Micro-delivery grocery service,New Delhi,mayfield fund,Series B,11.124099999999999
134,2018-11-13,driveu,Transport,On-Demand Drivers,Bengaluru,stevens creek,Mezzanine,8.557
135,2018-11-14,cleansecar,Services,Car Wash,Bengaluru,venture catalysts,Seed/ Angel Funding,4.2785
136,2018-11-19,automation anywhere,Automation,Robotics,California,softbank vision fund,Series B,2567.0999999999995
137,2018-11-20,healthifyme,Health and Wellness,Wellness Coach,Bengaluru,sistema asia fund vc samsung next chiratae inventus capital blume and innoven capital,Series B (Extension),51.34199999999999
138,2018-11-21,genius corner,Education,Personalized Learning,Noida,individual investors,Seed Funding,2.378846
139,2018-11-22,aavishkaarintellecap group,Investment,SME Funding,Mumbai,teachers insurance and annuity association tiaa,Equity Based Funding,265.267
140,2018-11-22,skillbox,Social Network,Art,Gurugram,individual investors,Seed Funding,0.0
141,2018-11-23,signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,stellaris venture partners and kalaari capital rajan anandan from google dilip khandwelwal from sap india and amrish rau from payu india,Series A,29.0938
143,2018-11-25,incred finance,Finance,SME Lending,India,paragon partners individual investors,Private Equity,359.39399999999995
144,2018-11-25,roposo,Social Media,Video Sharing,Delhi,bertelsmann india investments,Series B,14.5469
145,2018-01-10,northmist,Fashion,Mens Wear,Delhi,prashant jaiswal,Seed/ Angel Funding,0.0
146,2018-02-10,origo commodities india,Logistics,Supply Chain,Hyderabad,cooperative oikocredit caspian and hivostriodos fund,Seed/ Angel Funding,94.12699999999998
147,2018-04-10,grover zampa,Food,Wine,Mumbai,ravi viswanathan,Private Equity,70.1674
148,2018-05-10,droom,Automobile,New and Used Cars Platform,Gurgaon,zigexn,Series E,25.670999999999996
149,2018-11-10,innov8,Real Estate,Co-Working,New Delhi,credence family office,Pre-Series A,34.228
150,2018-12-10,blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,sequoia capital india,Private Funding,125.61676
151,2018-12-10,letstransport,Logistics Tech,Book Trucks Online,Bengaluru,fosun international,Series C,102.68399999999998
152,2018-01-09,netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,sistema asia fund sistema jsfc and tanncam investment,Private Equity,299.49499999999995
154,2018-03-09,daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,falcon edge,Private Equity,54.67923
155,2018-04-09,3hcare,Healthcare,Healthcare Service Provider,Delhi,disclosed,Seed / Angel Funding,8.557
156,2018-04-09,happygoeasy,Consumer Internet,Online Travel Agecy,Gurugram,korea investment partners kip samsung and chinabased citic capital and others,Private Equity,0.0
157,2018-05-09,nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,lighthouse,Private Equity,1345.1603999999998
159,2018-06-09,dream11,Consumer Internet,Online Gaming Platform,Mumbai,tencent kalaari capital and private equity firm multiples alternate asset management,Private Equity,855.6999999999999
160,2018-10-09,mamaearth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,stellaris others,Private Equity,34.228
162,2018-11-09,pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,innoven capital,Debt Funding,47.06349999999999
163,2018-11-09,upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,shunwei capitalquotient mayfield others,Private Equity,42.785
165,2018-01-08,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,farm to fork arts alliance the syndicate fund sven hensen zeroth and artesian venture partners,Seed/ Angel Funding,3.4228
166,2018-01-08,healthfin,Finance,Patient Financing Platform,Pune,axilor sprout venture partners and others,Seed/ Angel Funding,0.0
167,2018-02-08,samosa,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,xiaomi and sequoia capital india,Private Equity,59.899
168,2018-03-08,ziffyhomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,y combinator,Private Equity,1.02684
169,2018-07-08,my omnamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,disclosed,Seed/ Angel Funding,8.557
170,2018-07-08,shopx,Consumer Internet,Assisted E-commerce Platform,Bengaluru,fung strategic holdings,Private Equity,299.49499999999995
171,2018-07-08,makemytrip,Consumer Internet,Online Travel Aggregator,Gurugram,makemytrip limited,Private Equity,85.57
172,2018-08-08,hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,vertex,Seed/ Angel Funding,34.228
173,2018-08-08,metro bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,sequoia capital india advisors accel partners and g raghunandan,Private Equity,104.3954
174,2018-08-08,phone pe,Consumer Internet,UPI Payments App,Bengaluru,flipkart,Private Equity,564.762
175,2018-09-08,quizizz,Ed-Tech,e-learning Platform,Bengaluru,nexus venture partners prime venture partners and others,Seed/ Angel Funding,25.670999999999996
176,2018-09-08,happy emi,Fin-Tech,Consumer Financing Platform,Bengaluru,aj and jain international trade organisation jito,Seed/ Angel Funding,8.557
177,2018-08-13,inthree,Consumer Internet,Rural E-commerce Platform,Chennai,ventureast orios venture partners and the ian fund,Seed/ Angel Funding,34.228
178,2018-08-13,observe ai,Technology,AI Based Solutions Platform,Bengaluru,nexus venture partners mgv liquid 2 hack vc emergent and y combinator,Private Equity,68.456
179,2018-08-16,enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,disclosed,Seed/ Angel Funding,0.982437727
180,2018-08-17,eazydiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,denlow investment trust and beenext,Private Equity,50.05844999999999
181,2018-08-20,finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,disclosed,Seed / Angel Funding,8.557
182,2018-08-20,rawpressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,alteria capital,Debt Funding,41.07359999999999
184,2018-08-22,revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,hyundai edelweiss and beenext dream incubator sunjay kapoor and telama investment,Private Equity,122.10839
185,2018-08-26,zestmoney,Consumer Internet,Online Lending Platform,Bengaluru,xiaomipayu ribbit capital and omidyar network,Private Equity,114.6638
186,2018-08-26,shubh loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,saama capital sri capital beenext and pravega,Private Equity,35.9394
187,2018-08-27,myupchar,Healthcare,Local Language Health Content App,Delhi,nexus venture partners omidyar network and shunwei capital,Private Equity,42.785
188,2018-08-28,narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,accel formerly known as accel partners,Private Equity,25.670999999999996
189,2018-08-30,true north,Finance,Private Equity Firm,Mumbai,disclosed,Private Equity,5134.199999999999
190,2018-01-07,leena ai,Technology,HR Virtual Agent For Employees,Gurugram,y combinator,Seed/ Angel Funding,0.0
191,2018-02-07,biryani by kilo,Consumer Internet,Online Food Delivery,Gurugram,ajay relan and vinay mittal,Seed/ Angel Funding,8.557
192,2018-04-07,anchanto,IT,E-commerce Fulfilment Platform,Pune,mdi telkom indonesia,Private Equity,34.228
193,2018-05-07,loan tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,shunwei capital tuscan ashish goenka vc firms india quotient and kae capital,Private Equity,53.481249999999996
194,2018-06-07,policybazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,info edge india ltd and temasek,Private Equity,237.0289
195,2018-09-07,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,info edge india ltd,Seed/ Angel Funding,3.76508
196,2018-09-07,groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,insignia partners lightbridge partners kairos,Seed/ Angel Funding,9.4127
197,2018-10-07,avenue growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,avtar monga chief operating office at idfc bank aditya malik others,Seed/ Angel Funding,3.739409
198,2018-10-07,inicu,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,venture catalysts,Seed/ Angel Funding,0.0
199,2018-10-07,kinara capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,responsability,Private Equity,42.785
200,2018-10-07,shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,stellaris venture partners vy capital raghunandan g and ramakant sharma,Private Equity,42.785
201,2018-11-07,sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,base of pyramid asia bopa pte ltd,Private Equity,21.3925
202,2018-12-07,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,rishi vasudev excelsior investments ritesh vohra praveer kumar prashant gupta and others,Seed/ Angel Funding,1.5402599999999997
203,2018-12-07,5th vital,Healthcare,Home diagnostics services provider,Bengaluru,brand capital and others,Seed/ Angel Funding,4.2785
204,2018-07-13,mengage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,siddharth agarwal mahavir sharma amit singal 100 cofounders lab and others,Seed/ Angel Funding,1.497475
205,2018-07-17,ofbusiness,Finance,Online Lending Platform For SME,Gurugram,creation investments falcon edge matrix partners india and zodius capital,Private Equity,248.153
206,2018-07-17,cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,kingsway fci fund kck global others,Private Equity,425.2828999999999
207,2018-07-18,the ken,Consumer Internet,Subscription-Only News Website,Bengaluru,omidyar network others,Seed/ Angel Funding,12.835499999999998
208,2018-07-19,book my show,Consumer Internet,Online Ticketing Platform,Mumbai,tpg growth the rise fund others,Private Equity,855.6999999999999
209,2018-07-20,housingman,Consumer Internet,Property Discovery Platform,Bengaluru,disclosed,Seed/ Angel Funding,12.835499999999998
210,2018-07-21,paysense,Consumer Internet,Online Consumer Lending Platform,Mumbai,payu others,Private Equity,154.02599999999998
211,2018-07-23,yulu bikes,Technology,Bicycle-Sharing Platform,Bengaluru,disclosed,Seed/ Angel Funding,0.0
212,2018-07-23,vtion,Technology,Media Analytics,Gurugram,angellist rahul khanna rajeev arora and ram ramsundar,Seed/ Angel Funding,2.3959599999999996
213,2018-07-23,log9 materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,metaform hemant luthra micro venture capital firm gems partners and others,Seed/ Angel Funding,3.730852
214,2018-07-24,kidovators,Ed-Tech,Skill Learning Platform,Bengaluru,gray matters,Seed/ Angel Funding,1.5402599999999997
215,2018-07-24,digit,Consumer Internet,Online Insurance Startup,Pune,fairfax,Private Equity,385.06499999999994
216,2018-07-25,black soil,Finance,Non-Banking Financial Company,Mumbai,allcargo logistics navneet education and mahavir agency,Private Equity,145.469
217,2018-07-25,trell,Consumer Internet,Mobile-First Video Blogging App,Bengaluru,beenext weh and sprout,Seed/ Angel Funding,10.69625
218,2018-07-25,iqlect,Technology,Data Analytics Firm,Bengaluru,ventureast and exfinity,Seed/ Angel Funding,21.3925
219,2018-07-26,entropik,IT,Software-As-A-Service Platform,Bengaluru,bharat innovation idfcparampara capital arthavida jitendra gupta others,Seed/ Angel Funding,9.4127
220,2018-07-26,bitla software,Technology,Travel-Focused Tech Startup,Bengaluru,makemytrip,Private Equity,0.0
221,2018-07-26,thecapitalnet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,lindwall family investments llc lfi,Private Equity,4.2785
222,2018-07-30,shuttl,Consumer Internet,Bus Aggregation Platform,Gurugram,amazon alexa fund dentsu,Private Equity,94.12699999999998
223,2018-07-30,cure fit,Consumer Internet,Health and fitness Platform,Bengaluru,idg accel partners kalaari capital and others,Private Equity,1026.84
224,2018-07-31,five star group,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,tpg norwest venture partners sequoia capital matrix partners,Private Equity,855.6999999999999
225,2018-07-31,healthsignz,Healthcare,Health and Well being Platform,Hyderabad,kantilal patel,Seed/ Angel Funding,42.785
226,2018-01-06,cointribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,sabre partners puneet dalmia others,Private Equity,85.57
227,2018-04-06,digiconectt,Technology,Sales Analytics and Enablement Platform,Bengaluru,aspire logistics llc,Seed/ Angel Funding,1.069625
228,2018-04-06,kashmir box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,bhairavi jani alok divatia namrata kaul sohail hashemi aijaz saleem,Seed/ Angel Funding,0.0
229,2018-05-06,crowdera,Finance,Online Crowdfunding Platform,Nagpur,anil advani pramod jain amrendra reddy and manish satnaliwala,Seed/ Angel Funding,0.0
230,2018-05-06,zoctr,Healthcare,Online Healthcare Aggregator,Mumbai,nb and others,Seed/ Angel Funding,0.0
231,2018-07-06,annapurna finance,Finance,Non-Banking Financial Company,Bhubneswar,oman india joint investment fund oijif,Private Equity,196.81099999999998
232,2018-07-06,meesho,Consumer Internet,Online Marketplace For Resellers,Bengaluru,sequoia capital india saif partners y combinator and venture highway,Private Equity,98.40549999999999
233,2018-10-06,ayefinance,Finance,Online Lending Platform,Gurugram,capitalg saif partners and lgt impact,Private Equity,183.97549999999998
234,2018-11-06,theranosis,Healthcare,Specialised diagnostics Platform,Hyderabad,mumbai angels network,Seed/ Angel Funding,0.0
235,2018-12-06,alpha capital,Finance,Supplychain Finance,Mumbai,alpha capital,Private Equity,126.6436
236,2018-12-06,eshakti,E-Commerce,Fashion e-tailer,Chennai,paragon partners,Private Equity,86.42569999999999
237,2018-12-06,daily ninja,Consumer Internet,Hyperlocal Delivery Platform,Bengaluru,saama capital and sequoia capital,Seed/ Angel Funding,25.670999999999996
238,2018-06-13,nirogstreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,spiral subho ray and samir kumar,Seed/ Angel Funding,2.5670999999999995
239,2018-06-13,nivesh,Finance,Mass Market Mutual Fund Investment Platform,Noida,letsventure rajan anandan basab pradhan vivek khare and bijoy george,Seed/ Angel Funding,3.85065
